statid;timeobs (UTC);vindretning (°);label
0° is quiet, 360° is wind from north, 90° is wind from east etc.
612300;2009020506;81;1100
612300;2009020507;65;1100
612300;2009020508;94;1100
612300;2009020509;111;1100
612300;2009020510;100;1100
612300;2009020511;120;1100
612300;2009020512;138;1100
612300;2009020513;137;1100
612300;2009020514;137;1100
612300;2009020515;102;1100
612300;2009020516;117;1100
612300;2009020517;112;1100
612300;2009020518;118;1100
612300;2009020519;124;1100
612300;2009020520;134;1100
612300;2009020521;140;1100
612300;2009020522;147;1100
612300;2009020523;161;1100
612300;2009020600;156;1100
612300;2009020601;149;1100
612300;2009020602;158;1100
612300;2009020603;165;1100
612300;2009020604;154;1100
612300;2009020605;161;1100
612300;2009020606;167;1100
612300;2009020607;158;1100
612300;2009020608;180;1100
612300;2009020609;178;1100
612300;2009020610;175;1100
612300;2009020611;171;1100
612300;2009020612;197;1100
612300;2009020613;224;1100
612300;2009020614;220;1100
612300;2009020615;148;1100
612300;2009020616;140;1100
612300;2009020617;136;1100
612300;2009020618;139;1100
612300;2009020619;137;1100
612300;2009020620;137;1100
612300;2009020621;137;1100
612300;2009020622;136;1100
612300;2009020623;140;1100
612300;2009020700;139;1100
612300;2009020701;141;1100
612300;2009020702;139;1100
612300;2009020703;135;1100
612300;2009020704;139;1100
612300;2009020705;133;1100
612300;2009020706;138;1100
612300;2009020707;144;1100
612300;2009020708;146;1100
612300;2009020709;136;1100
612300;2009020710;142;1100
612300;2009020711;148;1100
612300;2009020712;140;1100
612300;2009020713;199;1100
612300;2009020714;181;1100
612300;2009020715;192;1100
612300;2009020716;185;1100
612300;2009020717;200;1100
612300;2009020718;275;1100
612300;2009020719;283;1100
612300;2009020720;309;1100
612300;2009020721;320;1100
612300;2009020722;304;1100
612300;2009020723;295;1100
612300;2009020800;289;1100
612300;2009020801;290;1100
612300;2009020802;277;1100
612300;2009020803;266;1100
612300;2009020804;262;1100
612300;2009020805;256;1100
612300;2009020806;249;1100
612300;2009020807;254;1100
612300;2009020808;252;1100
612300;2009020809;257;1100
612300;2009020810;266;1100
612300;2009020811;263;1100
612300;2009020812;257.3;1000
612300;2009020813;266;1100
612300;2009020814;258;1100
612300;2009020815;256;1100
